p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
8,3,7,14,13,10,9,15,10,14
14,16,9,13,14,13,21,19,19,9
9,10,14,9,15,14,16,15,15,13
13,31,25,27,31,10,27,28,32,33
26,21,22,25,25,25,21,27,26,25
13,14,10,14,13,10,13,13,13,13
25,20,19,19,20,19,22,19,15,19
14,16,19,14,15,13,14,16,19,15
13,10,19,7,15,14,14,14,13,13
7,20,19,16,15,4,9,19,19,13
15,20,22,21,21,15,21,19,20,22
14,13,9,9,13,7,8,13,10,9
8,7,7,8,10,13,9,8,8,8
4,15,13,13,13,13,10,15,13,16
13,13,13,8,7,13,13,13,8,7
31,22,20,19,26,19,28,21,31,28
20,19,15,19,19,16,7,25,19,21
9,9,8,14,13,13,15,13,13,13
20,16,21,19,19,14,14,14,33,19
9,15,10,13,15,4,14,13,9,14
8,2,13,8,9,13,3,4,14,8
15,15,15,7,19,14,-1,10,15,14
20,21,20,9,20,20,19,15,16,19
21,19,19,21,19,4,15,15,15,25
19,15,-1,20,19,16,9,16,25,20
10,8,3,7,8,3,9,4,13,9
19,7,14,14,15,14,15,14,15,16
21,20,20,21,20,22,19,21,25,21
19,16,20,21,19,21,13,19,22,3
4,8,9,8,8,8,14,8,14,14
15,22,13,13,19,21,19,10,20,20
10,19,19,20,21,20,25,16,15,10
10,19,16,16,19,15,9,20,19,19
7,32,25,26,27,31,28,19,31,31
7,2,4,8,8,8,10,8,9,7
19,20,21,20,20,22,25,16,21,20
14,13,13,13,13,14,13,13,14,13
10,2,4,9,13,4,8,9,9,10
19,22,19,13,19,20,21,21,21,19
20,21,22,15,21,21,21,14,22,15
19,15,16,13,20,22,14,19,19,20
7,13,7,9,14,14,14,13,14,7
9,14,13,14,14,9,14,13,8,14
13,13,15,14,16,7,7,14,19,15
25,27,25,32,26,22,31,16,25,32
